frame_id,timestamp,contact_id,x,y,force
0,1747314994.189481
1,1747314994.217495
2,1747314994.2542777
3,1747314994.2591057
4,1747314994.263698
5,1747314994.2687101
6,1747314994.273718
7,1747314994.2817335
8,1747314994.2862933
9,1747314994.2965484
10,1747314994.3015854
11,1747314994.309698
12,1747314994.3141966
13,1747314994.3187473
14,1747314994.3322904
15,1747314994.3375354
16,1747314994.3420382
17,1747314994.3503184
18,1747314994.3553948
19,1747314994.365682
20,1747314994.3696954
21,1747314994.378696
22,1747314994.3829112
23,1747314994.3879223
24,1747314994.401749
25,1747314994.406257
26,1747314994.4146976
27,1747314994.4199493
28,1747314994.4291806
29,1747314994.4377131
30,1747314994.4423428
31,1747314994.4476757
32,1747314994.4527233
33,1747314994.456882
34,1747314994.4704018
35,1747314994.4749541
36,1747314994.4804182
37,1747314994.488572
38,1747314994.4987369
39,1747314994.5028198
40,1747314994.511278
41,1747314994.5167317
42,1747314994.5212655
43,1747314994.534333
44,1747314994.5391154
45,1747314994.5441275
46,1747314994.552688
47,1747314994.5572736
48,1747314994.5672588
49,1747314994.5717607
50,1747314994.5802593
51,1747314994.5856473
52,1747314994.5892165
53,1747314994.603969
54,1747314994.6084728
55,1747314994.612983
56,1747314994.6213508
57,1747314994.6271179
58,1747314994.6396322
59,1747314994.6447713
60,1747314994.649276
61,1747314994.6584804
62,1747314994.667989
63,1747314994.6724923
64,1747314994.6776035
65,1747314994.682112
66,1747314994.690621
67,1747314994.6951263
68,1747314994.708471
69,1747314994.7139766
70,1747314994.7216463
71,1747314994.7266665
72,1747314994.7316298
73,1747314994.7456465
74,1747314994.7503414
75,1747314994.7548447
76,1747314994.7594802
77,1747314994.7684882
78,1747314994.7779126
79,1747314994.7867541
80,1747314994.7909057
81,1747314994.7963488
82,1747314994.8089688
83,1747314994.8145072
84,1747314994.8185658
85,1747314994.823641
86,1747314994.83206
87,1747314994.8423452
88,1747314994.8508534
89,1747314994.855856
90,1747314994.86096
91,1747314994.8654618
92,1747314994.8753867
93,1747314994.8804092
94,1747314994.8849766
95,1747314994.892993
96,1747314994.8983319
97,1747314994.9033382
98,1747314994.9123514
99,1747314994.9208577
100,1747314994.9260583
101,1747314994.9311774
102,1747314994.935228
103,1747314994.9488502
104,1747314994.9535415
105,1747314994.9623795
106,1747314994.967389
107,1747314994.9764116
108,1747314994.9849148
109,1747314994.9904172
110,1747314994.9954212
111,1747314994.9990416
112,1747314995.0045545
113,1747314995.018218
114,1747314995.0227182
115,1747314995.0317404
116,1747314995.0357502
117,1747314995.045793
118,1747314995.0503669
119,1747314995.0588706
120,1747314995.063875
121,1747314995.06838
122,1747314995.0821521
123,1747314995.086794
124,1747314995.095962
125,1747314995.1004896
126,1747314995.1048107
127,1747314995.1182008
128,1747314995.1237073
129,1747314995.1278212
130,1747314995.1370502
131,1747314995.141156
132,1747314995.151742
133,1747314995.1558588
134,1747314995.1607728
135,1747314995.168889
136,1747314995.1739028
137,1747314995.1870549
138,1747314995.1926086
139,1747314995.1971118
140,1747314995.2056522
141,1747314995.2155256
142,1747314995.2205389
143,1747314995.224653
144,1747314995.2336676
145,1747314995.237984
146,1747314995.2429967
147,1747314995.2565014
148,1747314995.2615023
149,1747314995.2660046
150,1747314995.2710106
151,1747314995.2790167
152,1747314995.289535
